ID,PROMPT,X,Y
34573,red car parked,255,160
34573,red car parked,228,106
34573,red car parked,302,81
34573,red car parked,375,66
34573,red car parked,411,51
46954,white car in lower left corner foreground,258,161
46954,white car in lower left corner foreground,178,166
46954,white car in lower left corner foreground,173,184
46954,white car in lower left corner foreground,197,204
46954,white car in lower left corner foreground,162,203
46954,white car in lower left corner foreground,92,216
46954,white car in lower left corner foreground,76,232
46954,white car in lower left corner foreground,76,239
15021,black car behind red car,254,162
15021,black car behind red car,259,191
15021,black car behind red car,288,247
15021,black car behind red car,302,267
15021,black car behind red car,309,274
15021,black car behind red car,317,273
15021,black car behind red car,313,269
6987,white vehicle lower left corner,256,161
6987,white vehicle lower left corner,261,196
6987,white vehicle lower left corner,234,197
6987,white vehicle lower left corner,273,238
6987,white vehicle lower left corner,122,261
42880,right car dark,254,160
42880,right car dark,254,182
42880,right car dark,243,203
42880,right car dark,383,247
42880,right car dark,457,267
49168,yellow car,256,160
49168,yellow car,266,127
49168,yellow car,381,137
49168,yellow car,416,141
41720,white car in front of bus,259,161
41720,white car in front of bus,205,162
41720,white car in front of bus,271,191
41720,white car in front of bus,352,211
41720,white car in front of bus,407,216
41720,white car in front of bus,421,214
41720,white car in front of bus,380,214
41720,white car in front of bus,351,213
47953,red pillow on left,260,163
47953,red pillow on left,229,133
47953,red pillow on left,235,139
47953,red pillow on left,252,159
47953,red pillow on left,168,167
47953,red pillow on left,79,167
43376,couch in front of window,256,160
43376,couch in front of window,238,161
43376,couch in front of window,244,166
43376,couch in front of window,240,171
43376,couch in front of window,255,182
43376,couch in front of window,283,173
43376,couch in front of window,276,160
43376,couch in front of window,274,160
13769,couch lower left corner,255,160
13769,couch lower left corner,246,156
13769,couch lower left corner,259,177
13769,couch lower left corner,189,247
13769,couch lower left corner,125,276
24150,tan seat cushion behind computer,257,161
24150,tan seat cushion behind computer,256,162
24150,tan seat cushion behind computer,240,154
24150,tan seat cushion behind computer,252,152
24150,tan seat cushion behind computer,241,77
24150,tan seat cushion behind computer,234,50
24150,tan seat cushion behind computer,237,40
11023,couch on left,256,159
11023,couch on left,188,146
11023,couch on left,94,138
11023,couch on left,78,141
18170,couch to left of old man,256,161
18170,couch to left of old man,232,156
18170,couch to left of old man,245,165
18170,couch to left of old man,254,179
18170,couch to left of old man,146,215
18170,couch to left of old man,100,237
18170,couch to left of old man,97,240
18170,couch to left of old man,98,242
26844,green truck on left front of row,255,160
26844,green truck on left front of row,247,157
26844,green truck on left front of row,246,212
26844,green truck on left front of row,239,231
26844,green truck on left front of row,107,213
26844,green truck on left front of row,72,222
26844,green truck on left front of row,73,220
26844,green truck on left front of row,69,220
26844,green truck on left front of row,69,223
13450,right back train behind green poles,257,161
13450,right back train behind green poles,242,146
13450,right back train behind green poles,232,145
13450,right back train behind green poles,247,148
13450,right back train behind green poles,266,151
13450,right back train behind green poles,299,150
13450,right back train behind green poles,316,150
13450,right back train behind green poles,353,145
4519,second bus front,256,160
4519,second bus front,256,139
4519,second bus front,276,141
4519,second bus front,293,146
4519,second bus front,243,154
25205,bus on right in back,255,160
25205,bus on right in back,254,165
25205,bus on right in back,276,159
25205,bus on right in back,391,158
25205,bus on right in back,428,151
25205,bus on right in back,434,146
25205,bus on right in back,435,148
31560,bus behind and left of main one,256,160
31560,bus behind and left of main one,253,160
31560,bus behind and left of main one,246,156
31560,bus behind and left of main one,230,149
31560,bus behind and left of main one,189,154
31560,bus behind and left of main one,104,167
31560,bus behind and left of main one,82,170
31560,bus behind and left of main one,83,171
31560,bus behind and left of main one,79,175
9233,bus on the right,257,161
9233,bus on the right,266,162
9233,bus on the right,289,167
9233,bus on the right,318,166
9233,bus on the right,438,171
9233,bus on the right,474,169
13520,the blue bus is cool,257,160
13520,the blue bus is cool,232,152
13520,the blue bus is cool,212,161
13520,the blue bus is cool,198,169
13520,the blue bus is cool,193,172
13520,the blue bus is cool,185,171
13520,the blue bus is cool,176,169
13520,the blue bus is cool,179,169
21728,full elephant on left,258,162
21728,full elephant on left,220,175
21728,full elephant on left,248,188
21728,full elephant on left,247,199
21728,full elephant on left,212,204
21728,full elephant on left,182,210
2939,elephant just to right of baby,257,161
2939,elephant just to right of baby,216,143
2939,elephant just to right of baby,280,148
2939,elephant just to right of baby,325,148
2939,elephant just to right of baby,351,150
2939,elephant just to right of baby,354,150
2939,elephant just to right of baby,349,147
2939,elephant just to right of baby,371,150
5340,middle back of elephant,256,162
5340,middle back of elephant,210,153
5340,middle back of elephant,206,151
5340,middle back of elephant,215,150
5340,middle back of elephant,230,149
5340,middle back of elephant,242,175
5340,middle back of elephant,243,186
18264,the one furthest right in water,256,161
18264,the one furthest right in water,253,153
18264,the one furthest right in water,282,151
